total_packets,total_bytes,unique_src_ips,max_per_src,avg_pkt_size,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,src_entropy,label
120,49896,9,29,403.657757,0.839961,0.156745,0.001939,0.065051,0.322484,0
94,35012,11,24,403.238745,0.920351,0.032694,0.033239,0.087165,0.229916,0
130,60514,17,25,496.049275,0.955833,0.044167,0.000000,0.079856,0.411421,0
5480,3481156,505,31,513.709423,0.025901,0.921051,0.048340,0.048465,0.786595,1
110,74475,16,14,584.099447,0.800444,0.199532,0.000012,0.020000,0.161558,0
11355,737405,104,373,67.983697,0.941346,0.058103,0.000377,0.636993,0.883745,1
48,17397,11,8,329.904526,0.776489,0.192950,0.004302,0.116315,0.578070,0
3515,2712329,139,52,685.262584,0.949661,0.039590,0.006081,0.142829,0.846462,1
312,147000,12,51,470.035487,0.945402,0.054598,0.000000,0.115687,0.463793,0
121,44933,13,12,394.790627,0.950109,0.049891,0.000000,0.040201,0.634014,0
15520,8292988,393,91,579.530625,0.142550,0.857450,0.000000,0.014787,0.724557,1
15790,993289,83,502,64.925469,0.978523,0.004580,0.011850,0.606131,0.747793,1
5779,2980302,281,66,562.897199,0.972989,0.027011,0.000000,0.096683,0.743420,1
131,62207,4,88,436.306101,0.942818,0.057182,0.000000,0.081097,0.304466,0
10418,5963997,169,214,553.905270,0.070137,0.929863,0.000000,0.033123,0.786176,1
182,145733,12,21,733.068246,0.822071,0.177388,0.000074,0.095081,0.522579,0
156,53116,12,34,305.478463,0.870189,0.089723,0.016614,0.026302,0.439967,0
137,115763,13,15,804.066084,0.927671,0.072329,0.000000,0.023316,0.635922,0
190,81066,6,82,458.194645,0.787375,0.198217,0.010652,0.042916,0.318187,0
14806,1368282,188,205,73.810180,0.925674,0.001767,0.022919,0.976006,0.710075,1
208,79985,13,30,321.524362,0.892836,0.107164,0.000000,0.114235,0.247894,0
293,153396,1,293,469.484007,0.902072,0.097928,0.000000,0.069902,0.473817,0
122,92140,7,27,780.996750,0.825869,0.082170,0.041668,0.064923,0.477304,0
205,191269,18,35,944.549316,0.960296,0.039704,0.000000,0.071878,0.244637,0
20998,19892137,3,6450,810.296854,0.930367,0.041417,0.003598,0.118570,0.239080,1
6724,2002531,354,72,253.271231,0.259602,0.723223,0.000373,0.065755,0.743320,1
16771,1447484,446,72,83.146694,0.911626,0.063757,0.005191,0.865775,0.811649,1
23904,3833133,971,77,175.316363,0.081828,0.918172,0.000000,0.017021,0.741617,1
8754,8181114,327,88,931.479802,0.956659,0.002351,0.011445,0.030064,0.885289,1
308,225734,7,136,675.763550,0.925139,0.074861,0.000000,0.073517,0.284359,0
3667,300369,273,46,88.953599,0.867100,0.048123,0.008964,0.704983,0.863715,1
213,181040,8,67,717.511089,0.923019,0.076981,0.000000,0.018463,0.231225,0
287,277811,6,146,844.940549,0.811365,0.159601,0.003138,0.105938,0.579297,0
190,98664,3,190,521.202036,0.771402,0.052103,0.034589,0.043683,0.440778,0
12309,21167168,326,95,1368.757927,0.916259,0.010098,0.010175,0.069102,0.721514,1
219,135368,10,56,738.299176,0.824619,0.083195,0.014592,0.052658,0.192350,0
16406,1901403,444,128,91.671711,0.927631,0.017854,0.000645,0.912439,0.731071,1
20564,1581170,2,13858,67.860791,0.917434,0.021936,0.012323,0.611366,0.404322,1
15918,14938609,745,52,900.597581,0.940728,0.005846,0.013178,0.020395,0.729770,1
17858,14631452,152,318,815.984964,0.904790,0.008917,0.004597,0.026455,0.838037,1
307,177008,9,87,659.447528,0.905299,0.054689,0.004797,0.107932,0.273108,0
408,209034,9,66,484.993370,0.849996,0.096208,0.047691,0.106344,0.281695,0
9484,6460106,5,3600,552.088915,0.146665,0.752202,0.016891,0.030184,0.255409,1
50000,6698373,5,17431,117.915051,0.853635,0.068131,0.020419,0.719493,0.532280,1
121,97696,11,21,720.492434,0.919864,0.028050,0.037910,0.015048,0.573999,0
121,50332,2,86,407.090727,0.944555,0.055445,0.000000,0.093943,0.286396,0
194,149581,10,38,664.886498,0.914293,0.085707,0.000000,0.037252,0.368879,0
9257,4706990,554,57,487.897983,0.150104,0.786296,0.036015,0.065026,0.936015,1
5996,4276809,4,4891,574.756124,0.244991,0.735271,0.013001,0.014079,0.233572,1
620,326211,12,173,442.544351,0.904409,0.095591,0.000000,0.055796,0.220609,0
185,198549,7,32,932.685944,0.880631,0.030387,0.049150,0.041302,0.644550,0
223,134148,6,106,656.490336,0.887165,0.074189,0.034317,0.119502,0.321366,0
84,42901,23,6,622.736376,0.897963,0.086623,0.003622,0.060500,0.524631,0
320,150377,15,63,581.582665,0.926542,0.011691,0.045576,0.081211,0.440571,0
208,136479,10,59,547.346372,0.771396,0.185042,0.039087,0.067174,0.500423,0
173,94147,7,72,592.788618,0.790397,0.035110,0.026970,0.116864,0.415426,0
421,368231,5,139,882.621089,0.971700,0.028300,0.000000,0.109873,0.194730,0
546,337567,11,94,632.885695,0.813175,0.020673,0.025367,0.044145,0.373957,0
198,128807,9,65,591.196095,0.774515,0.090778,0.008794,0.115376,0.408979,0
517,228707,9,173,432.967598,0.956052,0.043948,0.000000,0.081702,0.310763,0
14501,6466904,464,86,423.894140,0.041943,0.958057,0.000000,0.067159,0.712736,1
151,78837,7,51,626.086443,0.895576,0.073686,0.025157,0.092625,0.486398,0
138,73054,10,38,566.512111,0.842993,0.041358,0.023370,0.024039,0.461128,0
3523,4318414,468,26,1053.900276,0.901197,0.039348,0.009203,0.092916,0.872689,1
5359,5179712,146,103,854.383451,0.972414,0.027586,0.000000,0.149187,0.819590,1
333,141996,6,110,428.932323,0.906987,0.019198,0.004979,0.096228,0.379791,0
7585,3172031,7,2948,366.187842,0.163301,0.678834,0.009723,0.025421,0.541522,1
13434,1896121,219,176,126.802351,0.961546,0.032587,0.003810,0.890745,0.972690,1
191,156173,13,31,776.216516,0.972025,0.027975,0.000000,0.031936,0.330551,0
539,276506,13,68,498.971269,0.877241,0.023971,0.025213,0.094084,0.283860,0
8477,807909,340,43,78.959911,0.937347,0.004394,0.026564,0.726772,0.790819,1
261,162663,5,156,541.384883,0.897153,0.044573,0.048313,0.057588,0.605356,0
8110,3005414,193,102,342.453818,0.121801,0.878199,0.000000,0.014194,0.718947,1
381,328062,21,38,737.658719,0.802536,0.148162,0.006469,0.090748,0.422846,0
5109,3884506,1028,20,748.394965,0.924540,0.025171,0.018242,0.084077,0.751309,1
200,157899,4,133,858.731439,0.890063,0.039039,0.038126,0.069332,0.539313,0
13254,6665358,77,348,417.990787,0.235611,0.764389,0.000000,0.065749,0.765442,1
160,70899,7,77,413.506256,0.835563,0.154986,0.005424,0.068241,0.349017,0
3756,424038,251,54,98.519187,0.897035,0.050277,0.022947,0.696002,0.920402,1
327,342109,13,35,887.532843,0.861778,0.023150,0.038030,0.094242,0.208196,0
258,111027,13,66,426.453841,0.796980,0.146076,0.011934,0.053536,0.479845,0
162,93182,8,32,565.225096,0.953663,0.046337,0.000000,0.038963,0.382529,0
5680,1627191,185,66,311.438288,0.194371,0.739804,0.009389,0.001552,0.900255,1
21561,29004972,750,89,1242.592042,0.912160,0.056909,0.010786,0.126350,0.849460,1
240,206227,8,83,765.934035,0.818410,0.023865,0.002996,0.058357,0.392126,0
17799,2576604,4,11259,112.062070,0.857129,0.000787,0.018912,0.856630,0.316310,1
9177,7781279,113,316,878.801229,0.915380,0.020112,0.017426,0.175281,0.780859,1
92,51164,17,17,508.504318,0.974336,0.025664,0.000000,0.071782,0.295558,0
6159,720070,58,164,106.945202,0.925321,0.020380,0.015698,0.661223,0.863241,1
31405,21329189,7,27461,541.257682,0.069676,0.930324,0.000000,0.023845,0.204460,1
9102,7021043,610,50,597.448575,0.186752,0.813248,0.000000,0.028221,0.707532,1
131,83610,13,12,599.618166,0.753418,0.160097,0.011897,0.045615,0.231123,0
245,192280,15,34,785.117428,0.879185,0.059738,0.013014,0.059090,0.638183,0
2908,1739603,1052,20,495.046162,0.203823,0.796177,0.000000,0.036867,0.787391,1
18387,1025072,273,176,60.000000,0.966552,0.033448,0.000000,0.651800,0.734951,1
134,98074,15,20,856.756851,0.904212,0.095788,0.000000,0.056104,0.511135,0
12030,1088206,88,314,73.211485,0.984733,0.015267,0.000000,0.906767,0.864890,1
26480,1692995,578,151,60.000000,0.974888,0.025112,0.000000,0.887115,0.788341,1
14267,1165673,6,11332,74.560105,0.919836,0.042342,0.013202,0.950345,0.257738,1
3000,280778,6,2646,77.515594,0.924710,0.012149,0.000748,0.950360,0.418458,1
492,280745,8,190,691.421593,0.959159,0.040841,0.000000,0.025375,0.623131,0
101,66567,11,25,711.984421,0.905924,0.094076,0.000000,0.072151,0.636948,0
114,59694,14,14,488.980615,0.977856,0.015906,0.002523,0.059742,0.516039,0
9612,4362693,324,50,482.745177,0.079259,0.920741,0.000000,0.001445,0.913805,1
197,86601,15,26,535.158569,0.752204,0.035942,0.040761,0.116021,0.392719,0
279,74149,6,130,272.514624,0.777928,0.194898,0.016546,0.036323,0.229189,0
10864,769352,180,100,60.000000,0.853234,0.072777,0.019861,0.954388,0.946033,1
62,43653,16,12,632.055388,0.904530,0.095470,0.000000,0.102470,0.576247,0
224,258325,18,28,989.759897,0.777017,0.168107,0.024919,0.088826,0.388436,0
73,25393,9,15,404.508779,0.869679,0.032086,0.010270,0.074146,0.195471,0
229,108759,3,116,548.173080,0.797523,0.049319,0.002968,0.048590,0.290543,0
7895,457852,5,5740,60.000000,0.957765,0.004732,0.010594,0.746048,0.314099,1
4812,2187215,194,52,350.461780,0.119645,0.880355,0.000000,0.039479,0.841698,1
